skin_tone,eye_color,hair_color,primary_season,color_palette
medium,brown,black,Spring,"['peach', 'coral', 'soft green', 'mustard', 'white']"
light,blue,red,Spring,"['peach', 'golden yellow', 'soft pink', 'deep red', 'navy']"
light,blue,blonde,Spring,"['peach', 'warm green', 'lavender', 'warm brown', 'white']"
fair,brown,brown,Summer,"['lavender', 'pastel blue', 'warm green', 'deep red', 'jewel blue']"
light,hazel,blonde,Spring,"['warm green', 'coral', 'lavender', 'orange', 'jewel blue']"
light,brown,black,Summer,"['soft green', 'soft pink', 'peach', 'deep red', 'jewel blue']"
fairLight,brown,brown,Summer,"['soft pink', 'soft green', 'peach', 'mustard', 'black']"
mediumTan,green,blonde,Spring,"['warm green', 'peach', 'pastel blue', 'mustard', 'black']"
lightMedium,brown,black,Spring,"['golden yellow', 'warm green', 'soft pink', 'olive green', 'white']"
fairLight,hazel,black,Summer,"['lavender', 'soft green', 'warm green', 'mustard', 'black']"
light,hazel,auburn,Spring,"['peach', 'warm green', 'soft green', 'deep red', 'navy']"
lightMedium,brown,black,Spring,"['clear turquoise', 'warm green', 'lavender', 'orange', 'bright red']"
fair,hazel,brown,Summer,"['lavender', 'pastel blue', 'peach', 'orange', 'black']"
fair,blue,blonde,Spring,"['clear turquoise', 'peach', 'soft green', 'mustard', 'jewel blue']"
mediumTan,brown,brown,Autumn,"['orange', 'olive green', 'warm green', 'soft pink', 'bright red']"
light,brown,black,Summer,"['lavender', 'pastel blue', 'peach', 'deep red', 'bright red']"
lightMedium,brown,brown,Autumn,"['mustard', 'orange', 'golden yellow', 'grey', 'black']"
fair,green,brown,Summer,"['grey', 'lavender', 'golden yellow', 'olive green', 'navy']"
light,brown,black,Summer,"['soft green', 'grey', 'golden yellow', 'warm brown', 'navy']"
fair,brown,brown,Summer,"['pastel blue', 'lavender', 'clear turquoise', 'mustard', 'jewel blue']"
light,blue,blonde,Spring,"['golden yellow', 'coral', 'soft green', 'mustard', 'jewel blue']"
fairLight,green,brown,Summer,"['soft green', 'pastel blue', 'coral', 'orange', 'black']"
fair,brown,brunette,Summer,"['pastel blue', 'soft green', 'golden yellow', 'warm brown', 'bright red']"
fair,blue,blonde,Spring,"['warm green', 'coral', 'pastel blue', 'warm brown', 'white']"
fairLight,hazel,auburn,Spring,"['clear turquoise', 'warm green', 'grey', 'mustard', 'black']"
lightMedium,brown,brown,Autumn,"['olive green', 'warm brown', 'warm green', 'soft green', 'white']"
medium,hazel,brunette,Autumn,"['orange', 'olive green', 'coral', 'soft green', 'white']"
mediumTan,brown,blonde,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'bright red']"
medium,green,brunette,Autumn,"['orange', 'deep red', 'clear turquoise', 'soft green', 'bright red']"
lightMedium,green,blonde,Spring,"['peach', 'coral', 'lavender', 'olive green', 'white']"
lightMedium,blue,brown,Spring,"['coral', 'clear turquoise', 'soft pink', 'olive green', 'black']"
fair,blue,blonde,Spring,"['coral', 'golden yellow', 'lavender', 'warm brown', 'navy']"
medium,brown,brunette,Autumn,"['warm brown', 'mustard', 'clear turquoise', 'pastel blue', 'jewel blue']"
light,brown,blonde,Summer,"['soft pink', 'pastel blue', 'peach', 'deep red', 'bright red']"
light,brown,brown,Summer,"['soft pink', 'soft green', 'peach', 'warm brown', 'white']"
light,brown,Other,Summer,"['lavender', 'grey', 'coral', 'orange', 'navy']"
fair,blue,brown,Summer,"['soft green', 'grey', 'coral', 'orange', 'black']"
light,hazel,red,Spring,"['clear turquoise', 'golden yellow', 'lavender', 'olive green', 'jewel blue']"
lightMedium,brown,black,Spring,"['clear turquoise', 'warm green', 'pastel blue', 'warm brown', 'navy']"
fair,green,blonde,Spring,"['warm green', 'golden yellow', 'pastel blue', 'olive green', 'navy']"
fair,brown,Other,Summer,"['pastel blue', 'grey', 'golden yellow', 'warm brown', 'jewel blue']"
fair,blue,blonde,Spring,"['peach', 'warm green', 'soft pink', 'deep red', 'black']"
light,green,blonde,Spring,"['peach', 'clear turquoise', 'soft pink', 'orange', 'black']"
light,Other,brown,Summer,"['lavender', 'soft pink', 'clear turquoise', 'olive green', 'white']"
mediumTan,brown,auburn,Autumn,"['warm brown', 'olive green', 'warm green', 'pastel blue', 'jewel blue']"
fairLight,blue,red,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'deep red', 'bright red']"
light,brown,brown,Summer,"['grey', 'soft pink', 'peach', 'olive green', 'jewel blue']"
lightMedium,hazel,Other,Spring,"['coral', 'warm green', 'grey', 'mustard', 'white']"
medium,green,blonde,Spring,"['golden yellow', 'peach', 'soft green', 'warm brown', 'jewel blue']"
medium,brown,brown,Autumn,"['olive green', 'orange', 'clear turquoise', 'soft pink', 'black']"
mediumTan,brown,black,Spring,"['coral', 'golden yellow', 'soft pink', 'deep red', 'jewel blue']"
fair,brown,black,Summer,"['soft green', 'soft pink', 'golden yellow', 'olive green', 'white']"
Other,brown,brunette,Winter,"['black', 'white', 'coral', 'pastel blue', 'warm brown']"
lightMedium,blue,auburn,Spring,"['clear turquoise', 'coral', 'grey', 'olive green', 'white']"
light,blue,blonde,Spring,"['golden yellow', 'warm green', 'pastel blue', 'olive green', 'white']"
Other,brown,black,Winter,"['jewel blue', 'navy', 'clear turquoise', 'soft green', 'mustard']"
Other,green,blonde,Spring,"['coral', 'clear turquoise', 'soft green', 'orange', 'navy']"
fairLight,green,blonde,Spring,"['coral', 'peach', 'pastel blue', 'deep red', 'navy']"
fairLight,green,blonde,Spring,"['clear turquoise', 'golden yellow', 'soft green', 'mustard', 'black']"
fairLight,blue,black,Summer,"['grey', 'lavender', 'clear turquoise', 'deep red', 'jewel blue']"
light,brown,brown,Summer,"['lavender', 'grey', 'warm green', 'deep red', 'jewel blue']"
fair,hazel,Other,Summer,"['soft green', 'pastel blue', 'peach', 'deep red', 'bright red']"
light,blue,blonde,Spring,"['peach', 'clear turquoise', 'soft green', 'olive green', 'navy']"
light,brown,black,Summer,"['lavender', 'soft pink', 'clear turquoise', 'orange', 'navy']"
tan,brown,brown,Autumn,"['olive green', 'orange', 'clear turquoise', 'soft pink', 'black']"
fair,brown,black,Summer,"['grey', 'soft green', 'peach', 'olive green', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'clear turquoise', 'grey', 'bright red']"
lightMedium,green,brown,Autumn,"['deep red', 'warm brown', 'golden yellow', 'lavender', 'navy']"
fair,brown,black,Summer,"['pastel blue', 'soft pink', 'peach', 'warm brown', 'bright red']"
light,hazel,brown,Summer,"['pastel blue', 'lavender', 'peach', 'deep red', 'bright red']"
tan,brown,black,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'olive green', 'white']"
lightMedium,hazel,brown,Autumn,"['warm brown', 'mustard', 'peach', 'pastel blue', 'jewel blue']"
lightMedium,hazel,red,Autumn,"['deep red', 'mustard', 'clear turquoise', 'grey', 'bright red']"
light,hazel,brunette,Summer,"['soft green', 'soft pink', 'peach', 'olive green', 'black']"
fair,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'olive green', 'black']"
medium,green,auburn,Autumn,"['warm brown', 'mustard', 'warm green', 'grey', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['warm brown', 'orange', 'golden yellow', 'grey', 'jewel blue']"
mediumTan,brown,brown,Autumn,"['olive green', 'deep red', 'warm green', 'pastel blue', 'jewel blue']"
light,blue,brown,Summer,"['soft green', 'grey', 'clear turquoise', 'mustard', 'white']"
fair,hazel,brown,Summer,"['lavender', 'soft pink', 'warm green', 'olive green', 'white']"
fair,blue,blonde,Spring,"['warm green', 'peach', 'lavender', 'orange', 'white']"
fair,green,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'orange', 'bright red']"
lightMedium,brown,red,Autumn,"['orange', 'olive green', 'peach', 'soft pink', 'bright red']"
light,brown,brown,Summer,"['pastel blue', 'soft green', 'coral', 'mustard', 'white']"
fair,blue,auburn,Spring,"['peach', 'warm green', 'soft green', 'mustard', 'navy']"
Other,brown,black,Winter,"['black', 'navy', 'peach', 'soft pink', 'deep red']"
fair,green,blonde,Spring,"['clear turquoise', 'golden yellow', 'pastel blue', 'deep red', 'black']"
fair,green,blonde,Spring,"['clear turquoise', 'warm green', 'pastel blue', 'deep red', 'white']"
fair,blue,blonde,Spring,"['warm green', 'golden yellow', 'lavender', 'deep red', 'white']"
fair,blue,brown,Summer,"['soft green', 'soft pink', 'peach', 'warm brown', 'white']"
fair,hazel,blonde,Spring,"['coral', 'peach', 'soft pink', 'orange', 'black']"
light,brown,black,Summer,"['pastel blue', 'grey', 'warm green', 'warm brown', 'black']"
light,blue,brown,Summer,"['soft green', 'pastel blue', 'warm green', 'warm brown', 'bright red']"
fairLight,blue,brown,Summer,"['pastel blue', 'soft pink', 'clear turquoise', 'orange', 'jewel blue']"
fairLight,blue,brown,Summer,"['soft pink', 'lavender', 'coral', 'mustard', 'navy']"
fair,hazel,brown,Summer,"['lavender', 'pastel blue', 'warm green', 'orange', 'bright red']"
medium,brown,blonde,Spring,"['coral', 'peach', 'grey', 'olive green', 'black']"
medium,blue,blonde,Spring,"['golden yellow', 'peach', 'pastel blue', 'mustard', 'jewel blue']"
fair,green,brown,Summer,"['soft pink', 'lavender', 'coral', 'orange', 'bright red']"
lightMedium,brown,black,Spring,"['coral', 'golden yellow', 'lavender', 'orange', 'navy']"
light,brown,brown,Summer,"['soft pink', 'grey', 'clear turquoise', 'orange', 'jewel blue']"
fair,brown,brown,Summer,"['pastel blue', 'grey', 'warm green', 'orange', 'bright red']"
fair,brown,black,Summer,"['lavender', 'soft pink', 'clear turquoise', 'orange', 'black']"
light,green,blonde,Spring,"['golden yellow', 'peach', 'soft pink', 'orange', 'white']"
fair,green,brunette,Summer,"['soft pink', 'grey', 'coral', 'mustard', 'black']"
fair,blue,brunette,Summer,"['soft pink', 'grey', 'coral', 'warm brown', 'jewel blue']"
mediumTan,hazel,blonde,Spring,"['warm green', 'golden yellow', 'soft green', 'orange', 'bright red']"
fair,green,blonde,Spring,"['golden yellow', 'coral', 'grey', 'warm brown', 'bright red']"
mediumTan,brown,brown,Autumn,"['deep red', 'olive green', 'warm green', 'grey', 'jewel blue']"
light,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'mustard', 'jewel blue']"
light,brown,brown,Summer,"['soft green', 'pastel blue', 'warm green', 'warm brown', 'navy']"
lightMedium,brown,black,Spring,"['warm green', 'peach', 'pastel blue', 'orange', 'navy']"
tan,brown,brown,Autumn,"['warm brown', 'deep red', 'coral', 'grey', 'white']"
fair,brown,brown,Summer,"['grey', 'soft green', 'golden yellow', 'orange', 'white']"
lightMedium,brown,brown,Autumn,"['deep red', 'warm brown', 'warm green', 'soft green', 'jewel blue']"
mediumTan,brown,brown,Autumn,"['deep red', 'orange', 'peach', 'grey', 'white']"
Other,brown,brown,Winter,"['white', 'bright red', 'golden yellow', 'lavender', 'olive green']"
lightMedium,hazel,brown,Autumn,"['mustard', 'deep red', 'golden yellow', 'lavender', 'jewel blue']"
fair,blue,blonde,Spring,"['clear turquoise', 'warm green', 'lavender', 'olive green', 'white']"
light,brown,brown,Summer,"['grey', 'soft pink', 'coral', 'deep red', 'white']"
light,green,brown,Summer,"['soft pink', 'lavender', 'warm green', 'mustard', 'navy']"
lightMedium,brown,black,Spring,"['clear turquoise', 'warm green', 'lavender', 'mustard', 'white']"
medium,green,auburn,Autumn,"['warm brown', 'mustard', 'golden yellow', 'soft pink', 'white']"
medium,brown,brown,Autumn,"['orange', 'mustard', 'coral', 'soft green', 'navy']"
light,brown,black,Summer,"['grey', 'soft pink', 'coral', 'olive green', 'black']"
deep,brown,black,Winter,"['bright red', 'navy', 'clear turquoise', 'soft pink', 'olive green']"
tan,brown,black,Spring,"['warm green', 'peach', 'soft green', 'olive green', 'jewel blue']"
fair,blue,blonde,Spring,"['coral', 'warm green', 'lavender', 'mustard', 'navy']"
fair,brown,brown,Summer,"['soft green', 'grey', 'peach', 'deep red', 'jewel blue']"
fair,green,brunette,Summer,"['soft green', 'lavender', 'coral', 'mustard', 'jewel blue']"
medium,brown,black,Spring,"['golden yellow', 'coral', 'soft green', 'warm brown', 'bright red']"
fair,blue,blonde,Spring,"['coral', 'golden yellow', 'pastel blue', 'warm brown', 'jewel blue']"
Other,green,red,Spring,"['coral', 'warm green', 'lavender', 'deep red', 'black']"
fair,blue,auburn,Spring,"['clear turquoise', 'peach', 'soft green', 'orange', 'jewel blue']"
medium,brown,brown,Autumn,"['orange', 'olive green', 'coral', 'lavender', 'jewel blue']"
fair,green,blonde,Spring,"['clear turquoise', 'peach', 'grey', 'olive green', 'bright red']"
fair,hazel,brown,Summer,"['pastel blue', 'grey', 'warm green', 'orange', 'navy']"
light,green,brown,Summer,"['pastel blue', 'grey', 'coral', 'olive green', 'black']"
light,green,blonde,Spring,"['warm green', 'golden yellow', 'soft green', 'orange', 'black']"
Other,hazel,brunette,Winter,"['jewel blue', 'bright red', 'warm green', 'grey', 'deep red']"
light,brown,brown,Summer,"['soft green', 'pastel blue', 'warm green', 'mustard', 'white']"
light,green,brown,Summer,"['lavender', 'pastel blue', 'clear turquoise', 'deep red', 'jewel blue']"
fair,blue,brown,Summer,"['grey', 'pastel blue', 'peach', 'orange', 'jewel blue']"
fair,brown,brown,Summer,"['pastel blue', 'lavender', 'clear turquoise', 'olive green', 'black']"
light,blue,brown,Summer,"['pastel blue', 'lavender', 'golden yellow', 'mustard', 'jewel blue']"
fair,blue,brown,Summer,"['grey', 'lavender', 'clear turquoise', 'mustard', 'white']"
lightMedium,green,brown,Autumn,"['deep red', 'mustard', 'coral', 'pastel blue', 'white']"
light,brown,brown,Summer,"['grey', 'soft green', 'golden yellow', 'warm brown', 'black']"
medium,brown,black,Spring,"['golden yellow', 'warm green', 'pastel blue', 'orange', 'bright red']"
Other,brown,black,Winter,"['black', 'navy', 'coral', 'soft green', 'warm brown']"
lightMedium,brown,brown,Autumn,"['warm brown', 'deep red', 'clear turquoise', 'soft pink', 'navy']"
mediumTan,brown,brown,Autumn,"['mustard', 'olive green', 'golden yellow', 'pastel blue', 'white']"
light,blue,blonde,Spring,"['warm green', 'peach', 'grey', 'olive green', 'bright red']"
light,blue,blonde,Spring,"['coral', 'golden yellow', 'lavender', 'orange', 'navy']"
fair,Other,blonde,Summer,"['soft green', 'pastel blue', 'coral', 'warm brown', 'navy']"
light,green,brunette,Summer,"['lavender', 'pastel blue', 'warm green', 'orange', 'jewel blue']"
light,brown,brown,Summer,"['grey', 'soft green', 'golden yellow', 'warm brown', 'white']"
medium,brown,brown,Autumn,"['mustard', 'orange', 'clear turquoise', 'soft green', 'jewel blue']"
mediumTan,blue,brown,Spring,"['clear turquoise', 'warm green', 'soft green', 'orange', 'black']"
fairLight,hazel,brown,Summer,"['soft pink', 'grey', 'clear turquoise', 'olive green', 'bright red']"
Other,brown,brunette,Winter,"['jewel blue', 'navy', 'golden yellow', 'grey', 'orange']"
fair,blue,brown,Summer,"['grey', 'lavender', 'warm green', 'warm brown', 'bright red']"
fair,brown,brown,Summer,"['grey', 'soft pink', 'peach', 'warm brown', 'navy']"
fair,green,brunette,Summer,"['soft green', 'pastel blue', 'clear turquoise', 'mustard', 'bright red']"
fair,hazel,auburn,Spring,"['warm green', 'peach', 'soft green', 'deep red', 'jewel blue']"
lightMedium,blue,blonde,Spring,"['coral', 'warm green', 'grey', 'orange', 'bright red']"
tan,brown,brown,Autumn,"['deep red', 'orange', 'peach', 'pastel blue', 'navy']"
light,blue,blonde,Spring,"['warm green', 'peach', 'pastel blue', 'deep red', 'bright red']"
light,brown,brown,Summer,"['lavender', 'pastel blue', 'coral', 'mustard', 'jewel blue']"
light,green,blonde,Spring,"['warm green', 'coral', 'grey', 'warm brown', 'black']"
light,green,brunette,Summer,"['pastel blue', 'lavender', 'coral', 'deep red', 'navy']"
fair,blue,brunette,Summer,"['lavender', 'soft pink', 'peach', 'deep red', 'bright red']"
light,brown,brown,Summer,"['grey', 'soft pink', 'clear turquoise', 'olive green', 'navy']"
fairLight,green,auburn,Spring,"['peach', 'warm green', 'soft pink', 'mustard', 'navy']"
light,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'grey', 'mustard', 'white']"
lightMedium,brown,brown,Autumn,"['deep red', 'warm brown', 'golden yellow', 'grey', 'navy']"
lightMedium,brown,brown,Autumn,"['mustard', 'warm brown', 'peach', 'soft green', 'jewel blue']"
light,brown,brown,Summer,"['grey', 'soft green', 'peach', 'orange', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['deep red', 'warm brown', 'coral', 'soft green', 'bright red']"
deep,brown,black,Winter,"['bright red', 'navy', 'golden yellow', 'lavender', 'warm brown']"
fair,blue,blonde,Spring,"['warm green', 'golden yellow', 'soft pink', 'mustard', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['deep red', 'olive green', 'golden yellow', 'pastel blue', 'bright red']"
mediumTan,brown,brown,Autumn,"['deep red', 'olive green', 'peach', 'pastel blue', 'navy']"
fair,blue,blonde,Spring,"['peach', 'golden yellow', 'soft pink', 'orange', 'jewel blue']"
light,brown,brown,Summer,"['grey', 'lavender', 'peach', 'olive green', 'jewel blue']"
light,brown,auburn,Summer,"['grey', 'pastel blue', 'golden yellow', 'olive green', 'white']"
light,green,brown,Summer,"['grey', 'lavender', 'peach', 'olive green', 'bright red']"
fairLight,green,red,Spring,"['clear turquoise', 'peach', 'lavender', 'mustard', 'jewel blue']"
fair,blue,blonde,Spring,"['golden yellow', 'warm green', 'grey', 'mustard', 'bright red']"
fair,brown,brunette,Summer,"['pastel blue', 'lavender', 'coral', 'mustard', 'navy']"
medium,brown,brown,Autumn,"['mustard', 'warm brown', 'warm green', 'lavender', 'jewel blue']"
light,brown,black,Summer,"['soft green', 'grey', 'warm green', 'orange', 'jewel blue']"
medium,brown,black,Spring,"['golden yellow', 'warm green', 'grey', 'deep red', 'bright red']"
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'lavender', 'orange', 'black']"
fair,blue,brown,Summer,"['soft pink', 'grey', 'warm green', 'mustard', 'white']"
fairLight,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'pastel blue', 'orange', 'black']"
fair,blue,blonde,Spring,"['golden yellow', 'coral', 'pastel blue', 'warm brown', 'black']"
fair,hazel,brown,Summer,"['soft green', 'lavender', 'peach', 'orange', 'navy']"
fairLight,hazel,brown,Summer,"['grey', 'soft pink', 'coral', 'warm brown', 'navy']"
light,blue,brunette,Summer,"['soft green', 'pastel blue', 'peach', 'olive green', 'navy']"
lightMedium,brown,blonde,Spring,"['coral', 'warm green', 'lavender', 'warm brown', 'white']"
light,brown,brown,Summer,"['soft green', 'lavender', 'golden yellow', 'mustard', 'white']"
fairLight,brown,auburn,Summer,"['grey', 'soft pink', 'warm green', 'deep red', 'bright red']"
fair,brown,brown,Summer,"['soft green', 'lavender', 'coral', 'mustard', 'navy']"
fair,brown,black,Summer,"['grey', 'soft green', 'warm green', 'deep red', 'bright red']"
lightMedium,hazel,brown,Autumn,"['mustard', 'deep red', 'peach', 'lavender', 'white']"
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'coral', 'pastel blue', 'navy']"
light,brown,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'warm brown', 'jewel blue']"
mediumTan,brown,brown,Autumn,"['mustard', 'olive green', 'coral', 'grey', 'bright red']"
fair,hazel,brown,Summer,"['lavender', 'soft pink', 'clear turquoise', 'orange', 'navy']"
deep,hazel,black,Winter,"['jewel blue', 'navy', 'golden yellow', 'pastel blue', 'mustard']"
light,hazel,brown,Summer,"['soft pink', 'pastel blue', 'warm green', 'deep red', 'jewel blue']"
medium,brown,brown,Autumn,"['deep red', 'mustard', 'peach', 'pastel blue', 'jewel blue']"
light,hazel,blonde,Spring,"['coral', 'warm green', 'soft pink', 'warm brown', 'white']"
fair,brown,blonde,Summer,"['soft pink', 'grey', 'warm green', 'deep red', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['orange', 'deep red', 'peach', 'lavender', 'navy']"
fair,green,brown,Summer,"['pastel blue', 'soft green', 'coral', 'olive green', 'black']"
light,hazel,blonde,Spring,"['clear turquoise', 'golden yellow', 'grey', 'orange', 'bright red']"
fair,blue,blonde,Spring,"['clear turquoise', 'coral', 'grey', 'warm brown', 'white']"
fair,green,brown,Summer,"['grey', 'soft green', 'peach', 'mustard', 'black']"
medium,brown,black,Spring,"['clear turquoise', 'warm green', 'pastel blue', 'orange', 'black']"
fairLight,hazel,blonde,Spring,"['coral', 'golden yellow', 'soft pink', 'orange', 'navy']"
deep,brown,Other,Winter,"['bright red', 'jewel blue', 'coral', 'soft green', 'mustard']"
light,brown,black,Summer,"['lavender', 'soft green', 'clear turquoise', 'mustard', 'navy']"
medium,brown,black,Spring,"['warm green', 'peach', 'soft green', 'mustard', 'bright red']"
deep,brown,black,Winter,"['black', 'white', 'coral', 'grey', 'mustard']"
fair,green,brown,Summer,"['grey', 'pastel blue', 'clear turquoise', 'mustard', 'white']"
light,brown,black,Summer,"['lavender', 'soft pink', 'clear turquoise', 'deep red', 'navy']"
light,brown,brown,Summer,"['lavender', 'soft pink', 'golden yellow', 'mustard', 'jewel blue']"
fairLight,brown,brown,Summer,"['soft green', 'grey', 'coral', 'mustard', 'bright red']"
lightMedium,brown,brown,Autumn,"['orange', 'warm brown', 'warm green', 'soft green', 'bright red']"
medium,blue,blonde,Spring,"['peach', 'golden yellow', 'soft pink', 'olive green', 'bright red']"
light,green,brown,Summer,"['soft green', 'soft pink', 'peach', 'orange', 'bright red']"
fair,brown,brown,Summer,"['grey', 'soft green', 'golden yellow', 'mustard', 'black']"
light,green,brown,Summer,"['soft green', 'grey', 'golden yellow', 'deep red', 'navy']"
fairLight,blue,blonde,Spring,"['coral', 'clear turquoise', 'grey', 'mustard', 'black']"
fairLight,hazel,brown,Summer,"['pastel blue', 'grey', 'peach', 'warm brown', 'bright red']"
fairLight,hazel,blonde,Spring,"['peach', 'clear turquoise', 'pastel blue', 'warm brown', 'black']"
fairLight,hazel,brown,Summer,"['grey', 'soft green', 'coral', 'deep red', 'white']"
fair,green,blonde,Spring,"['warm green', 'coral', 'lavender', 'orange', 'navy']"
lightMedium,blue,blonde,Spring,"['peach', 'coral', 'lavender', 'warm brown', 'jewel blue']"
fair,blue,blonde,Spring,"['clear turquoise', 'warm green', 'soft pink', 'orange', 'white']"
light,green,brunette,Summer,"['pastel blue', 'lavender', 'peach', 'olive green', 'white']"
fairLight,green,brown,Summer,"['soft green', 'pastel blue', 'clear turquoise', 'deep red', 'navy']"
fair,green,blonde,Spring,"['coral', 'golden yellow', 'lavender', 'olive green', 'black']"
lightMedium,brown,brown,Autumn,"['olive green', 'orange', 'coral', 'soft green', 'bright red']"
tan,brown,brown,Autumn,"['orange', 'olive green', 'coral', 'soft pink', 'bright red']"
light,hazel,brown,Summer,"['pastel blue', 'soft green', 'warm green', 'warm brown', 'navy']"
fair,brown,black,Summer,"['pastel blue', 'soft green', 'warm green', 'orange', 'jewel blue']"
light,brown,brown,Summer,"['grey', 'lavender', 'warm green', 'olive green', 'black']"
lightMedium,brown,brown,Autumn,"['deep red', 'olive green', 'peach', 'soft green', 'white']"
medium,brown,black,Spring,"['golden yellow', 'clear turquoise', 'soft green', 'mustard', 'jewel blue']"
light,brown,brown,Summer,"['grey', 'soft pink', 'peach', 'mustard', 'navy']"
lightMedium,brown,brown,Autumn,"['mustard', 'orange', 'golden yellow', 'pastel blue', 'navy']"
fair,blue,auburn,Spring,"['coral', 'warm green', 'soft pink', 'mustard', 'jewel blue']"
light,hazel,brown,Summer,"['pastel blue', 'grey', 'golden yellow', 'olive green', 'black']"
deep,brown,black,Winter,"['jewel blue', 'white', 'warm green', 'lavender', 'mustard']"
light,blue,brown,Summer,"['grey', 'soft pink', 'clear turquoise', 'deep red', 'jewel blue']"
light,blue,blonde,Spring,"['clear turquoise', 'peach', 'soft green', 'warm brown', 'bright red']"
mediumTan,brown,brown,Autumn,"['mustard', 'olive green', 'peach', 'lavender', 'bright red']"
light,blue,blonde,Spring,"['golden yellow', 'coral', 'soft pink', 'deep red', 'white']"
light,brown,brown,Summer,"['grey', 'soft pink', 'warm green', 'mustard', 'white']"
light,green,brunette,Summer,"['soft green', 'lavender', 'clear turquoise', 'deep red', 'navy']"
fair,green,brown,Summer,"['soft pink', 'grey', 'warm green', 'olive green', 'navy']"
lightMedium,blue,brown,Spring,"['clear turquoise', 'peach', 'pastel blue', 'olive green', 'bright red']"
fairLight,blue,blonde,Spring,"['coral', 'clear turquoise', 'soft pink', 'warm brown', 'bright red']"
lightMedium,brown,black,Spring,"['coral', 'clear turquoise', 'grey', 'olive green', 'jewel blue']"
fair,hazel,brown,Summer,"['soft pink', 'lavender', 'golden yellow', 'olive green', 'black']"
fair,green,brown,Summer,"['lavender', 'soft pink', 'coral', 'olive green', 'black']"
light,blue,black,Summer,"['soft green', 'soft pink', 'peach', 'mustard', 'black']"
medium,blue,blonde,Spring,"['warm green', 'clear turquoise', 'lavender', 'warm brown', 'black']"
deep,brown,black,Winter,"['bright red', 'black', 'clear turquoise', 'soft pink', 'deep red']"
lightMedium,brown,brown,Autumn,"['olive green', 'orange', 'peach', 'grey', 'jewel blue']"
light,green,blonde,Spring,"['peach', 'coral', 'soft pink', 'warm brown', 'navy']"
fair,blue,blonde,Spring,"['clear turquoise', 'warm green', 'lavender', 'orange', 'jewel blue']"
fair,green,blonde,Spring,"['peach', 'clear turquoise', 'pastel blue', 'deep red', 'white']"
fair,blue,blonde,Spring,"['peach', 'coral', 'pastel blue', 'deep red', 'bright red']"
fairLight,brown,auburn,Summer,"['grey', 'lavender', 'peach', 'warm brown', 'navy']"
fair,brown,blonde,Summer,"['soft pink', 'pastel blue', 'warm green', 'warm brown', 'white']"
light,brown,brunette,Summer,"['grey', 'soft pink', 'coral', 'warm brown', 'white']"
mediumTan,green,brown,Autumn,"['deep red', 'olive green', 'clear turquoise', 'soft green', 'black']"
tan,brown,brunette,Autumn,"['orange', 'mustard', 'peach', 'soft green', 'navy']"
fair,brown,brown,Summer,"['soft pink', 'pastel blue', 'golden yellow', 'mustard', 'bright red']"
medium,brown,black,Spring,"['warm green', 'golden yellow', 'lavender', 'deep red', 'jewel blue']"
light,blue,brown,Summer,"['grey', 'soft green', 'clear turquoise', 'mustard', 'white']"
medium,brown,brunette,Autumn,"['warm brown', 'mustard', 'clear turquoise', 'lavender', 'navy']"
fair,blue,blonde,Spring,"['peach', 'golden yellow', 'soft green', 'deep red', 'navy']"
lightMedium,brown,black,Spring,"['peach', 'clear turquoise', 'soft pink', 'orange', 'bright red']"
fair,hazel,brown,Summer,"['soft pink', 'soft green', 'clear turquoise', 'warm brown', 'bright red']"
tan,brown,black,Spring,"['clear turquoise', 'warm green', 'pastel blue', 'warm brown', 'white']"
fair,hazel,blonde,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'orange', 'jewel blue']"
light,brown,brown,Summer,"['lavender', 'pastel blue', 'coral', 'olive green', 'black']"
fair,Other,blonde,Summer,"['lavender', 'soft pink', 'clear turquoise', 'warm brown', 'navy']"
medium,brown,black,Spring,"['warm green', 'clear turquoise', 'soft pink', 'olive green', 'bright red']"
mediumTan,green,blonde,Spring,"['golden yellow', 'coral', 'soft green', 'deep red', 'navy']"
light,green,black,Summer,"['grey', 'lavender', 'warm green', 'olive green', 'black']"
lightMedium,green,brown,Autumn,"['orange', 'mustard', 'peach', 'grey', 'bright red']"
light,blue,blonde,Spring,"['warm green', 'golden yellow', 'pastel blue', 'deep red', 'bright red']"
fair,brown,brown,Summer,"['soft pink', 'grey', 'golden yellow', 'deep red', 'white']"
