skin_tone,eye_color,hair_color,primary_season,color_palette,palette_name
fairLight,hazel,brown,Summer,"['lavender', 'grey', 'coral', 'warm brown', 'jewel blue']",Palette_3bef7ca3
fairLight,green,brown,Summer,"['pastel blue', 'lavender', 'coral', 'mustard', 'navy']",Palette_8d87abff
light,brown,black,Summer,"['pastel blue', 'grey', 'coral', 'warm brown', 'white']",Palette_16dafe93
mediumTan,brown,brown,Autumn,"['mustard', 'deep red', 'coral', 'soft pink', 'black']",Palette_08e55b41
fair,brown,brown,Summer,"['pastel blue', 'soft pink', 'peach', 'orange', 'navy']",Palette_7cc6c783
lightMedium,brown,brown,Autumn,"['orange', 'olive green', 'coral', 'soft green', 'black']",Palette_4b741943
light,brown,brown,Summer,"['soft green', 'lavender', 'peach', 'deep red', 'black']",Palette_e496652b
lightMedium,hazel,blonde,Spring,"['golden yellow', 'peach', 'lavender', 'warm brown', 'navy']",Palette_cb950510
lightMedium,brown,brown,Autumn,"['warm brown', 'deep red', 'peach', 'pastel blue', 'bright red']",Palette_af5bad74
fair,hazel,blonde,Spring,"['clear turquoise', 'warm green', 'grey', 'olive green', 'navy']",Palette_4f10944c
lightMedium,brown,brown,Autumn,"['deep red', 'olive green', 'clear turquoise', 'soft green', 'black']",Palette_b108e3a6
mediumTan,brown,brown,Autumn,"['orange', 'deep red', 'golden yellow', 'soft green', 'jewel blue']",Palette_d7d38f35
lightMedium,blue,blonde,Spring,"['warm green', 'golden yellow', 'pastel blue', 'olive green', 'navy']",Palette_02293bfc
lightMedium,brown,brown,Autumn,"['mustard', 'warm brown', 'warm green', 'lavender', 'navy']",Palette_7ffa6b1e
light,brown,brown,Summer,"['lavender', 'grey', 'coral', 'warm brown', 'jewel blue']",Palette_3bef7ca3
lightMedium,brown,brown,Autumn,"['olive green', 'deep red', 'warm green', 'grey', 'black']",Palette_4fd3523f
tan,brown,black,Spring,"['warm green', 'clear turquoise', 'soft green', 'deep red', 'black']",Palette_3057942c
lightMedium,brown,black,Spring,"['coral', 'peach', 'pastel blue', 'orange', 'navy']",Palette_04cdc3d9
tan,brown,black,Spring,"['peach', 'coral', 'soft pink', 'mustard', 'white']",Palette_d3df4127
fair,green,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'deep red', 'navy']",Palette_d336c2dd
fairLight,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'pastel blue', 'warm brown', 'navy']",Palette_afda5819
lightMedium,brown,black,Spring,"['peach', 'warm green', 'grey', 'mustard', 'white']",Palette_f3e1b156
mediumTan,brown,brown,Autumn,"['orange', 'olive green', 'clear turquoise', 'soft pink', 'black']",Palette_edb90b1d
fairLight,blue,blonde,Spring,"['clear turquoise', 'peach', 'pastel blue', 'olive green', 'black']",Palette_1959cece
fairLight,hazel,brown,Summer,"['grey', 'pastel blue', 'coral', 'orange', 'jewel blue']",Palette_8b2c2040
fairLight,blue,auburn,Spring,"['warm green', 'golden yellow', 'soft pink', 'mustard', 'jewel blue']",Palette_41fd805b
lightMedium,brown,black,Spring,"['golden yellow', 'warm green', 'lavender', 'olive green', 'navy']",Palette_27f9bd6f
light,brown,brown,Summer,"['soft pink', 'soft green', 'clear turquoise', 'warm brown', 'jewel blue']",Palette_2283c620
lightMedium,brown,brown,Autumn,"['olive green', 'orange', 'coral', 'soft pink', 'white']",Palette_ec53894e
light,blue,brown,Summer,"['pastel blue', 'lavender', 'peach', 'olive green', 'jewel blue']",Palette_47f84d37
light,green,brown,Summer,"['pastel blue', 'lavender', 'golden yellow', 'deep red', 'bright red']",Palette_c855beff
lightMedium,brown,black,Spring,"['peach', 'clear turquoise', 'grey', 'mustard', 'jewel blue']",Palette_510ed682
fair,green,brown,Summer,"['grey', 'soft green', 'clear turquoise', 'orange', 'navy']",Palette_b6f48e49
lightMedium,brown,brown,Autumn,"['deep red', 'mustard', 'golden yellow', 'pastel blue', 'black']",Palette_ab7a41cc
fairLight,blue,brown,Summer,"['pastel blue', 'soft green', 'golden yellow', 'olive green', 'bright red']",Palette_e71723c6
fair,hazel,blonde,Spring,"['peach', 'golden yellow', 'pastel blue', 'warm brown', 'navy']",Palette_f5b67de3
mediumTan,green,brown,Autumn,"['olive green', 'orange', 'peach', 'soft pink', 'bright red']",Palette_1d634ce4
mediumTan,brown,brown,Autumn,"['deep red', 'olive green', 'coral', 'grey', 'bright red']",Palette_18a93618
light,brown,brown,Summer,"['pastel blue', 'grey', 'warm green', 'mustard', 'black']",Palette_524fe581
light,brown,brown,Summer,"['grey', 'pastel blue', 'warm green', 'warm brown', 'jewel blue']",Palette_5b0ce2ca
lightMedium,hazel,brown,Autumn,"['olive green', 'deep red', 'warm green', 'grey', 'bright red']",Palette_975c74b1
fair,blue,blonde,Spring,"['coral', 'clear turquoise', 'soft green', 'deep red', 'bright red']",Palette_9b97b1ea
tan,brown,black,Spring,"['golden yellow', 'clear turquoise', 'grey', 'warm brown', 'black']",Palette_0e7adf7e
light,brown,blonde,Summer,"['grey', 'soft green', 'clear turquoise', 'deep red', 'black']",Palette_b4425b09
light,brown,brown,Summer,"['soft green', 'pastel blue', 'warm green', 'olive green', 'navy']",Palette_6c69e178
light,brown,auburn,Summer,"['grey', 'lavender', 'coral', 'warm brown', 'jewel blue']",Palette_de9d7766
fair,hazel,brown,Summer,"['soft green', 'lavender', 'warm green', 'warm brown', 'navy']",Palette_9870d4d5
tan,brown,brown,Autumn,"['orange', 'deep red', 'peach', 'soft green', 'jewel blue']",Palette_76dc6b52
fair,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'deep red', 'jewel blue']",Palette_7085bbe4
lightMedium,brown,black,Spring,"['warm green', 'clear turquoise', 'soft green', 'mustard', 'bright red']",Palette_28ccb965
fair,green,auburn,Spring,"['warm green', 'coral', 'pastel blue', 'deep red', 'jewel blue']",Palette_76ed6ff4
lightMedium,brown,brown,Autumn,"['mustard', 'deep red', 'warm green', 'lavender', 'black']",Palette_e8db1f7d
light,blue,blonde,Spring,"['warm green', 'golden yellow', 'lavender', 'orange', 'navy']",Palette_2d50a88d
lightMedium,brown,brown,Autumn,"['warm brown', 'deep red', 'peach', 'soft pink', 'white']",Palette_e262984c
lightMedium,blue,brown,Spring,"['coral', 'clear turquoise', 'soft green', 'orange', 'navy']",Palette_c8283536
light,hazel,brown,Summer,"['grey', 'pastel blue', 'clear turquoise', 'deep red', 'navy']",Palette_331e34cc
fair,brown,blonde,Summer,"['grey', 'soft pink', 'coral', 'warm brown', 'bright red']",Palette_5d8323f0
light,hazel,blonde,Spring,"['coral', 'clear turquoise', 'soft pink', 'mustard', 'white']",Palette_2ffd9bf5
lightMedium,brown,brown,Autumn,"['olive green', 'orange', 'warm green', 'lavender', 'navy']",Palette_924aeaea
light,blue,blonde,Spring,"['peach', 'warm green', 'soft green', 'mustard', 'navy']",Palette_9dc1e506
tan,brown,red,Autumn,"['deep red', 'olive green', 'warm green', 'lavender', 'bright red']",Palette_6ce0915d
light,green,blonde,Spring,"['clear turquoise', 'coral', 'soft green', 'mustard', 'white']",Palette_b28e8423
light,blue,brown,Summer,"['soft green', 'lavender', 'warm green', 'orange', 'black']",Palette_fe4a561b
light,blue,brown,Summer,"['lavender', 'grey', 'peach', 'orange', 'white']",Palette_764c7cdf
lightMedium,brown,black,Spring,"['golden yellow', 'coral', 'grey', 'olive green', 'white']",Palette_827a8134
medium,brown,black,Spring,"['golden yellow', 'warm green', 'soft green', 'mustard', 'bright red']",Palette_9df45102
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'golden yellow', 'soft pink', 'black']",Palette_18c2000d
lightMedium,blue,blonde,Spring,"['peach', 'coral', 'soft pink', 'olive green', 'jewel blue']",Palette_5e72c652
light,green,brown,Summer,"['soft green', 'grey', 'peach', 'deep red', 'white']",Palette_5dab0981
light,brown,black,Summer,"['soft green', 'pastel blue', 'peach', 'warm brown', 'white']",Palette_e0aab6cf
fairLight,brown,brown,Summer,"['pastel blue', 'soft green', 'warm green', 'olive green', 'bright red']",Palette_f5b38a97
light,blue,blonde,Spring,"['golden yellow', 'peach', 'lavender', 'warm brown', 'black']",Palette_e092cedd
fairLight,blue,blonde,Spring,"['clear turquoise', 'coral', 'lavender', 'warm brown', 'black']",Palette_49baf5c1
mediumTan,brown,brown,Autumn,"['mustard', 'deep red', 'coral', 'pastel blue', 'black']",Palette_f009cb99
light,brown,blonde,Summer,"['soft green', 'pastel blue', 'clear turquoise', 'warm brown', 'jewel blue']",Palette_c9d5e14f
light,blue,red,Spring,"['peach', 'golden yellow', 'grey', 'olive green', 'jewel blue']",Palette_a519a1b9
fair,brown,brown,Summer,"['soft green', 'grey', 'warm green', 'deep red', 'white']",Palette_ebd9148e
light,blue,brown,Summer,"['soft green', 'lavender', 'clear turquoise', 'orange', 'black']",Palette_aec8e880
mediumTan,brown,brown,Autumn,"['orange', 'mustard', 'clear turquoise', 'grey', 'black']",Palette_c13f32c1
lightMedium,brown,blonde,Spring,"['peach', 'clear turquoise', 'lavender', 'orange', 'jewel blue']",Palette_db6894b6
mediumTan,brown,brown,Autumn,"['mustard', 'orange', 'clear turquoise', 'grey', 'navy']",Palette_ccdb7271
deep,brown,black,Winter,"['jewel blue', 'white', 'clear turquoise', 'soft green', 'warm brown']",Palette_45aa7456
light,brown,red,Summer,"['lavender', 'pastel blue', 'warm green', 'mustard', 'bright red']",Palette_1e676827
light,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'mustard', 'jewel blue']",Palette_bd3871c6
deep,brown,black,Winter,"['black', 'navy', 'warm green', 'soft pink', 'deep red']",Palette_e13ce7a4
fair,blue,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'orange', 'bright red']",Palette_566ed3c6
light,brown,brown,Summer,"['lavender', 'pastel blue', 'warm green', 'orange', 'bright red']",Palette_a312e1a6
fair,green,blonde,Spring,"['warm green', 'golden yellow', 'grey', 'deep red', 'bright red']",Palette_3963a8dc
fair,green,red,Spring,"['coral', 'clear turquoise', 'pastel blue', 'olive green', 'black']",Palette_be9c6dfb
light,brown,blonde,Summer,"['soft green', 'pastel blue', 'golden yellow', 'olive green', 'jewel blue']",Palette_523f34ad
fairLight,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'soft green', 'warm brown', 'white']",Palette_8a555786
fair,blue,blonde,Spring,"['clear turquoise', 'peach', 'grey', 'olive green', 'white']",Palette_6d987d32
medium,brown,black,Spring,"['clear turquoise', 'peach', 'pastel blue', 'mustard', 'white']",Palette_27544aef
lightMedium,brown,blonde,Spring,"['peach', 'coral', 'soft green', 'orange', 'navy']",Palette_85a2b26e
lightMedium,hazel,brown,Autumn,"['olive green', 'orange', 'peach', 'pastel blue', 'navy']",Palette_45963798
light,brown,blonde,Summer,"['soft pink', 'grey', 'peach', 'warm brown', 'black']",Palette_ae770503
mediumTan,blue,brown,Spring,"['coral', 'golden yellow', 'soft green', 'warm brown', 'black']",Palette_e8add262
fairLight,Other,red,Summer,"['soft green', 'soft pink', 'golden yellow', 'mustard', 'white']",Palette_821b3df1
tan,brown,black,Spring,"['clear turquoise', 'coral', 'soft green', 'deep red', 'navy']",Palette_f7bd8b97
fairLight,green,blonde,Spring,"['coral', 'peach', 'lavender', 'warm brown', 'navy']",Palette_14f25550
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'clear turquoise', 'pastel blue', 'navy']",Palette_4371a2bd
light,brown,blonde,Summer,"['lavender', 'pastel blue', 'peach', 'mustard', 'navy']",Palette_fa7246a3
fairLight,brown,brown,Summer,"['pastel blue', 'soft pink', 'warm green', 'mustard', 'navy']",Palette_269dd1f2
fair,hazel,brown,Summer,"['pastel blue', 'soft green', 'coral', 'orange', 'navy']",Palette_6915630f
lightMedium,green,brown,Autumn,"['deep red', 'olive green', 'warm green', 'pastel blue', 'white']",Palette_5a190fed
mediumTan,brown,black,Spring,"['clear turquoise', 'coral', 'soft pink', 'olive green', 'jewel blue']",Palette_3fd44436
tan,brown,black,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'orange', 'bright red']",Palette_07f19cab
light,brown,brown,Summer,"['lavender', 'grey', 'warm green', 'mustard', 'navy']",Palette_b7caad68
fairLight,blue,red,Spring,"['peach', 'clear turquoise', 'soft green', 'mustard', 'white']",Palette_759b01fb
light,blue,blonde,Spring,"['coral', 'clear turquoise', 'grey', 'olive green', 'white']",Palette_3885f2f5
fair,brown,auburn,Summer,"['soft green', 'lavender', 'clear turquoise', 'warm brown', 'jewel blue']",Palette_39276208
light,hazel,brown,Summer,"['soft green', 'pastel blue', 'warm green', 'mustard', 'black']",Palette_db621051
fair,blue,blonde,Spring,"['peach', 'warm green', 'lavender', 'mustard', 'navy']",Palette_bba0da5d
fair,brown,brown,Summer,"['soft pink', 'pastel blue', 'coral', 'orange', 'navy']",Palette_73d635e1
medium,brown,black,Spring,"['golden yellow', 'peach', 'pastel blue', 'warm brown', 'black']",Palette_176a97d4
fair,brown,Other,Summer,"['pastel blue', 'soft green', 'clear turquoise', 'mustard', 'navy']",Palette_ef5101d9
fairLight,hazel,blonde,Spring,"['warm green', 'peach', 'pastel blue', 'olive green', 'white']",Palette_33923b23
lightMedium,hazel,blonde,Spring,"['golden yellow', 'peach', 'pastel blue', 'mustard', 'navy']",Palette_0661f54c
fair,blue,brown,Summer,"['grey', 'soft pink', 'warm green', 'warm brown', 'bright red']",Palette_acca841a
lightMedium,brown,black,Spring,"['peach', 'warm green', 'soft green', 'deep red', 'white']",Palette_30b91ff2
fair,green,blonde,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'deep red', 'black']",Palette_83b6841b
light,hazel,brown,Summer,"['soft green', 'lavender', 'peach', 'deep red', 'navy']",Palette_b392d417
lightMedium,brown,red,Autumn,"['deep red', 'olive green', 'clear turquoise', 'soft green', 'black']",Palette_b108e3a6
mediumTan,brown,black,Spring,"['peach', 'coral', 'lavender', 'warm brown', 'black']",Palette_5bfc2335
mediumTan,brown,brown,Autumn,"['orange', 'deep red', 'clear turquoise', 'soft green', 'white']",Palette_f84c2a8e
light,blue,blonde,Spring,"['golden yellow', 'coral', 'pastel blue', 'orange', 'black']",Palette_5e375acd
light,blue,blonde,Spring,"['warm green', 'clear turquoise', 'lavender', 'mustard', 'bright red']",Palette_57732498
light,brown,brown,Summer,"['grey', 'soft green', 'warm green', 'warm brown', 'jewel blue']",Palette_274c9a5f
mediumTan,green,brown,Autumn,"['mustard', 'olive green', 'clear turquoise', 'soft green', 'bright red']",Palette_ea40788e
fair,brown,red,Summer,"['lavender', 'grey', 'warm green', 'mustard', 'bright red']",Palette_6d3d06f5
fair,brown,brown,Summer,"['pastel blue', 'lavender', 'clear turquoise', 'mustard', 'jewel blue']",Palette_6dc6f0ec
fair,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'warm brown', 'black']",Palette_f9a33637
deep,brown,black,Winter,"['white', 'navy', 'peach', 'pastel blue', 'orange']",Palette_a8da466b
fair,blue,blonde,Spring,"['golden yellow', 'peach', 'grey', 'orange', 'jewel blue']",Palette_93b87edf
lightMedium,brown,brown,Autumn,"['mustard', 'olive green', 'coral', 'soft pink', 'navy']",Palette_94697509
fair,green,brown,Summer,"['soft pink', 'soft green', 'clear turquoise', 'olive green', 'navy']",Palette_67653dbe
lightMedium,hazel,black,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'white']",Palette_fa274983
lightMedium,hazel,brown,Autumn,"['mustard', 'deep red', 'clear turquoise', 'grey', 'navy']",Palette_c09bbc6e
light,green,blonde,Spring,"['peach', 'coral', 'soft pink', 'olive green', 'navy']",Palette_5dd1c20a
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'warm green', 'lavender', 'navy']",Palette_7ff14798
light,brown,brown,Summer,"['lavender', 'grey', 'warm green', 'warm brown', 'white']",Palette_d527c086
deep,brown,black,Winter,"['bright red', 'white', 'peach', 'soft green', 'mustard']",Palette_6a2fd2bf
lightMedium,brown,brown,Autumn,"['orange', 'olive green', 'coral', 'grey', 'black']",Palette_1e8e7917
medium,brown,blonde,Spring,"['coral', 'peach', 'soft pink', 'mustard', 'white']",Palette_f432c030
lightMedium,hazel,brown,Autumn,"['orange', 'olive green', 'warm green', 'soft pink', 'white']",Palette_98bcda7a
fairLight,blue,red,Spring,"['coral', 'peach', 'soft pink', 'olive green', 'white']",Palette_0bbdaacb
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'soft pink', 'olive green', 'black']",Palette_4736af69
mediumTan,brown,brown,Autumn,"['deep red', 'olive green', 'coral', 'pastel blue', 'bright red']",Palette_7b8295f0
lightMedium,hazel,brown,Autumn,"['olive green', 'warm brown', 'clear turquoise', 'soft green', 'bright red']",Palette_4b91eb3a
fairLight,blue,auburn,Spring,"['golden yellow', 'peach', 'pastel blue', 'mustard', 'navy']",Palette_0661f54c
light,brown,blonde,Summer,"['grey', 'soft pink', 'coral', 'warm brown', 'black']",Palette_014b1415
lightMedium,brown,brown,Autumn,"['deep red', 'mustard', 'peach', 'lavender', 'white']",Palette_b0f81307
light,green,blonde,Spring,"['coral', 'clear turquoise', 'grey', 'olive green', 'white']",Palette_3885f2f5
fair,green,blonde,Spring,"['peach', 'clear turquoise', 'grey', 'deep red', 'navy']",Palette_b268ed3d
light,blue,blonde,Spring,"['warm green', 'clear turquoise', 'soft green', 'warm brown', 'navy']",Palette_fe5ef242
light,green,auburn,Spring,"['coral', 'peach', 'soft green', 'orange', 'navy']",Palette_ba6a3977
medium,brown,black,Spring,"['clear turquoise', 'golden yellow', 'lavender', 'warm brown', 'bright red']",Palette_15fda8ae
medium,brown,blonde,Spring,"['peach', 'coral', 'grey', 'olive green', 'white']",Palette_acfa83b6
light,brown,brown,Summer,"['grey', 'soft green', 'peach', 'olive green', 'jewel blue']",Palette_cd0e6af6
mediumTan,green,brown,Autumn,"['orange', 'olive green', 'clear turquoise', 'pastel blue', 'bright red']",Palette_582fb9cb
light,brown,brown,Summer,"['soft pink', 'soft green', 'warm green', 'mustard', 'jewel blue']",Palette_3bc04ad9
lightMedium,green,brown,Autumn,"['deep red', 'orange', 'clear turquoise', 'pastel blue', 'navy']",Palette_dc99e077
fair,green,brown,Summer,"['lavender', 'soft pink', 'peach', 'olive green', 'white']",Palette_388a6b74
lightMedium,hazel,brown,Autumn,"['warm brown', 'orange', 'warm green', 'pastel blue', 'jewel blue']",Palette_c0528c33
light,hazel,brown,Summer,"['soft green', 'soft pink', 'clear turquoise', 'olive green', 'bright red']",Palette_5dd9b875
fairLight,blue,auburn,Spring,"['clear turquoise', 'golden yellow', 'lavender', 'orange', 'black']",Palette_611eb658
lightMedium,brown,brown,Autumn,"['mustard', 'warm brown', 'golden yellow', 'grey', 'jewel blue']",Palette_0bf4e109
lightMedium,hazel,brown,Autumn,"['mustard', 'orange', 'coral', 'soft pink', 'black']",Palette_4ca7ca61
lightMedium,brown,black,Spring,"['golden yellow', 'clear turquoise', 'pastel blue', 'mustard', 'jewel blue']",Palette_37bce8d6
fair,hazel,blonde,Spring,"['coral', 'clear turquoise', 'pastel blue', 'mustard', 'navy']",Palette_4046fb22
medium,brown,black,Spring,"['golden yellow', 'coral', 'soft green', 'warm brown', 'navy']",Palette_6c9fbba5
medium,blue,brown,Spring,"['peach', 'coral', 'grey', 'warm brown', 'white']",Palette_cdfef149
fair,hazel,brown,Summer,"['soft pink', 'soft green', 'golden yellow', 'olive green', 'navy']",Palette_389d3bbf
fairLight,green,blonde,Spring,"['peach', 'golden yellow', 'soft green', 'mustard', 'black']",Palette_5fd27b78
light,brown,black,Summer,"['soft green', 'soft pink', 'coral', 'orange', 'black']",Palette_9888eee8
lightMedium,brown,brown,Autumn,"['mustard', 'orange', 'clear turquoise', 'grey', 'jewel blue']",Palette_99a4e22f
fairLight,blue,brown,Summer,"['pastel blue', 'lavender', 'coral', 'mustard', 'navy']",Palette_8d87abff
fair,green,brown,Summer,"['soft pink', 'grey', 'warm green', 'deep red', 'jewel blue']",Palette_3a62c5ad
lightMedium,blue,blonde,Spring,"['golden yellow', 'warm green', 'soft green', 'olive green', 'jewel blue']",Palette_7e0d8a0a
light,brown,brown,Summer,"['lavender', 'grey', 'coral', 'warm brown', 'bright red']",Palette_105d2b2d
light,blue,brown,Summer,"['grey', 'lavender', 'warm green', 'warm brown', 'bright red']",Palette_e6a577c7
lightMedium,green,auburn,Autumn,"['deep red', 'olive green', 'peach', 'lavender', 'white']",Palette_05ab2efe
mediumTan,brown,black,Spring,"['clear turquoise', 'golden yellow', 'pastel blue', 'olive green', 'navy']",Palette_53de1456
fairLight,green,blonde,Spring,"['peach', 'warm green', 'pastel blue', 'olive green', 'black']",Palette_403dc2b6
lightMedium,brown,black,Spring,"['peach', 'coral', 'soft pink', 'orange', 'black']",Palette_01512713
light,brown,brown,Summer,"['soft green', 'pastel blue', 'peach', 'olive green', 'black']",Palette_b66fe1ce
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'warm green', 'soft green', 'navy']",Palette_b1b2283b
light,hazel,brown,Summer,"['soft pink', 'grey', 'golden yellow', 'mustard', 'navy']",Palette_830df76f
lightMedium,hazel,brown,Autumn,"['deep red', 'mustard', 'clear turquoise', 'soft green', 'black']",Palette_bc1a49de
fair,blue,Other,Summer,"['soft green', 'pastel blue', 'peach', 'warm brown', 'black']",Palette_1df353f0
light,green,brown,Summer,"['soft green', 'soft pink', 'warm green', 'olive green', 'jewel blue']",Palette_db8eff45
light,blue,brown,Summer,"['lavender', 'grey', 'coral', 'orange', 'jewel blue']",Palette_d1a8b31e
fair,blue,blonde,Spring,"['coral', 'golden yellow', 'lavender', 'warm brown', 'navy']",Palette_30e27e42
lightMedium,brown,brown,Autumn,"['olive green', 'deep red', 'clear turquoise', 'grey', 'jewel blue']",Palette_e6b64c13
lightMedium,hazel,brown,Autumn,"['warm brown', 'deep red', 'warm green', 'grey', 'bright red']",Palette_13fdd9c5
lightMedium,blue,blonde,Spring,"['coral', 'clear turquoise', 'grey', 'mustard', 'bright red']",Palette_f2205a4f
lightMedium,brown,brown,Autumn,"['mustard', 'deep red', 'clear turquoise', 'soft pink', 'black']",Palette_22f8d51e
tan,brown,brunette,Autumn,"['warm brown', 'orange', 'warm green', 'grey', 'jewel blue']",Palette_08359419
fair,blue,brown,Summer,"['grey', 'lavender', 'coral', 'mustard', 'bright red']",Palette_d7f85da0
fair,brown,brown,Summer,"['pastel blue', 'soft green', 'coral', 'deep red', 'jewel blue']",Palette_00213977
fair,blue,brown,Summer,"['lavender', 'grey', 'coral', 'olive green', 'jewel blue']",Palette_6ce70dd6
fair,brown,brown,Summer,"['lavender', 'grey', 'warm green', 'mustard', 'black']",Palette_7df609b4
tan,brown,brunette,Autumn,"['orange', 'olive green', 'clear turquoise', 'soft green', 'black']",Palette_70150417
mediumTan,brown,brown,Autumn,"['orange', 'olive green', 'coral', 'lavender', 'jewel blue']",Palette_89523947
medium,brown,black,Spring,"['peach', 'clear turquoise', 'soft green', 'orange', 'jewel blue']",Palette_600c896c
fair,blue,blonde,Spring,"['warm green', 'clear turquoise', 'lavender', 'mustard', 'black']",Palette_77a922f4
light,brown,brown,Summer,"['pastel blue', 'soft green', 'golden yellow', 'mustard', 'black']",Palette_50ecef1e
lightMedium,brown,Other,Spring,"['warm green', 'coral', 'pastel blue', 'orange', 'navy']",Palette_0e72ba33
fair,hazel,brown,Summer,"['soft green', 'grey', 'clear turquoise', 'orange', 'white']",Palette_ab6ef5a5
medium,blue,blonde,Spring,"['golden yellow', 'coral', 'soft pink', 'deep red', 'jewel blue']",Palette_3c72d89a
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'peach', 'olive green', 'navy']",Palette_a3ae2a99
lightMedium,hazel,blonde,Spring,"['warm green', 'coral', 'grey', 'deep red', 'navy']",Palette_ecf3bb9c
light,brown,brown,Summer,"['soft green', 'grey', 'clear turquoise', 'orange', 'white']",Palette_ab6ef5a5
fair,blue,blonde,Spring,"['golden yellow', 'coral', 'lavender', 'warm brown', 'black']",Palette_6abd8f82
fair,blue,blonde,Spring,"['peach', 'golden yellow', 'soft green', 'olive green', 'jewel blue']",Palette_f0906591
tan,brown,black,Spring,"['warm green', 'peach', 'lavender', 'mustard', 'white']",Palette_6dd13391
medium,brown,brown,Autumn,"['orange', 'warm brown', 'coral', 'lavender', 'navy']",Palette_0d7f84e6
medium,green,brown,Autumn,"['warm brown', 'olive green', 'peach', 'grey', 'bright red']",Palette_d4eecd3f
fairLight,green,red,Spring,"['warm green', 'coral', 'grey', 'warm brown', 'white']",Palette_ff2b265d
fair,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'lavender', 'mustard', 'white']",Palette_c23e0e1f
medium,green,auburn,Autumn,"['olive green', 'mustard', 'peach', 'soft pink', 'bright red']",Palette_cf22ccac
lightMedium,brown,brown,Autumn,"['deep red', 'olive green', 'coral', 'lavender', 'navy']",Palette_cef3f56b
fair,blue,auburn,Spring,"['coral', 'clear turquoise', 'pastel blue', 'warm brown', 'bright red']",Palette_07164a9b
light,brown,black,Summer,"['pastel blue', 'soft green', 'clear turquoise', 'deep red', 'black']",Palette_90c9a6a3
lightMedium,brown,brown,Autumn,"['deep red', 'mustard', 'clear turquoise', 'soft green', 'black']",Palette_bc1a49de
lightMedium,brown,brown,Autumn,"['mustard', 'orange', 'peach', 'soft pink', 'navy']",Palette_22a19286
fairLight,green,blonde,Spring,"['peach', 'coral', 'pastel blue', 'warm brown', 'white']",Palette_7c3098be
lightMedium,brown,black,Spring,"['peach', 'coral', 'soft green', 'orange', 'bright red']",Palette_ccff9a69
mediumTan,brown,black,Spring,"['coral', 'clear turquoise', 'lavender', 'mustard', 'bright red']",Palette_bbea9ae5
fair,green,blonde,Spring,"['warm green', 'peach', 'soft pink', 'deep red', 'navy']",Palette_e28a136e
light,green,black,Summer,"['lavender', 'soft green', 'warm green', 'warm brown', 'white']",Palette_dc390913
light,brown,brown,Summer,"['lavender', 'pastel blue', 'golden yellow', 'olive green', 'jewel blue']",Palette_b59dfa6a
medium,green,brown,Autumn,"['deep red', 'mustard', 'warm green', 'lavender', 'navy']",Palette_ec77d2d2
fairLight,blue,blonde,Spring,"['clear turquoise', 'coral', 'grey', 'olive green', 'black']",Palette_2db6a15c
tan,brown,black,Spring,"['peach', 'warm green', 'grey', 'olive green', 'black']",Palette_6594bec2
medium,hazel,brown,Autumn,"['warm brown', 'mustard', 'coral', 'grey', 'jewel blue']",Palette_7c3d5c1a
light,blue,brown,Summer,"['lavender', 'soft green', 'coral', 'warm brown', 'bright red']",Palette_8025967b
light,brown,brown,Summer,"['lavender', 'pastel blue', 'clear turquoise', 'orange', 'bright red']",Palette_0e68fd07
fair,hazel,blonde,Spring,"['clear turquoise', 'coral', 'lavender', 'orange', 'white']",Palette_f5678888
tan,brown,black,Spring,"['peach', 'coral', 'lavender', 'orange', 'black']",Palette_f6e2f9e1
fair,green,blonde,Spring,"['golden yellow', 'warm green', 'grey', 'mustard', 'white']",Palette_911e5778
fairLight,brown,brown,Summer,"['grey', 'soft green', 'peach', 'orange', 'jewel blue']",Palette_2e913d60
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'warm green', 'soft pink', 'bright red']",Palette_35aecf0c
fairLight,brown,blonde,Summer,"['grey', 'soft green', 'coral', 'deep red', 'black']",Palette_bc798723
fair,brown,brown,Summer,"['soft pink', 'soft green', 'peach', 'orange', 'bright red']",Palette_abc7634a
light,brown,black,Summer,"['soft pink', 'pastel blue', 'peach', 'olive green', 'navy']",Palette_089d2fb2
medium,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'pastel blue', 'deep red', 'bright red']",Palette_ce1b9252
